AuthorId,AuthorName,Gender,Age,Followers,Following,FollowerUsers,FollowingUsers,password
11,rosasharn,Female,29,3,9,"""4976,5858,7417""","""4,48,100,799,1398,2169,2544,4780,8820""",Abc12345@
12,Gilcat2,Female,41,11,4,"""60,238,611,792,3478,4457,5518,5758,6505,6826,9064""","""290,1531,1695,2661""",Abc12345@
13,Melody,Female,51,4,7,"""1862,1886,3196,6555""","""251,898,1059,1241,1740,2389,3229""",Abc12345@
14,Bill Hilbrich,Male,54,52,41,"""115,179,186,816,850,958,998,1023,1038,1222,1450,2064,2568,2699,2921,3008,3189,3238,3607,3671,4204,4504,4713,4781,5125,5292,5376,5436,5594,5644,5693,5786,6092,6243,6413,6535,6623,7014,7125,7196,7234,7663,8389,8648,8738,9005,9226,9308,9420,9539,9661,9842""","""48,85,216,222,303,343,442,560,585,752,1093,1237,1266,1403,1646,2008,2374,2814,2968,3287,3459,3599,3797,3883,4183,4703,5206,5387,5499,5934,6344,6539,6714,6853,7177,7214,7268,7908,8219,8721,9258""",Abc12345@
15,Larry,Male,59,0,1,,"""250""",Abc12345@
16,Laniakea,Female,31,5,4,"""3,668,1022,2490,3752""","""2649,3071,3291,4595""",Abc12345@
17,Khandi Howard,Male,55,6,6,"""41,380,4020,4294,6491,8053""","""393,434,898,1149,3936,5234""",Abc12345@
18,HELEN PEAGRAM,Male,47,15,10,"""9,31,355,459,1070,1255,1633,2081,2149,2416,3302,4644,5002,5401,8120""","""67,436,1195,1281,1862,4445,4449,4936,5009,7858""",Abc12345@
19,Kim19068,Male,53,38,24,"""638,732,1176,1406,1420,1638,1746,2042,2264,2339,2578,2853,2951,3437,3486,3548,4457,4552,4851,4876,5543,5914,6198,6487,7072,7245,7726,8002,8048,8056,8116,8160,8195,8531,8648,8752,8769,8984""","""81,85,436,442,526,615,694,1410,1547,3202,3408,3505,4066,4129,4457,4696,5131,5818,7979,8323,8664,8732,9330,9720""",Abc12345@
20,jynxx6969,Male,44,3,8,"""613,1241,4457""","""67,216,322,414,1220,1388,1694,1695""",Abc12345@
21,MLBRUNKER,Female,22,5,4,"""881,1688,5216,6735,9776""","""24,1241,2767,4533""",Abc12345@
22,troyh,Male,40,29,10,"""527,973,1416,1441,1547,1799,2150,2482,2500,2533,2655,2925,3403,4064,4198,4700,4966,5391,5677,6079,7047,7417,7497,7547,7935,8115,8311,8591,9505""","""150,365,532,2652,4046,4157,4229,4860,8532,8584""",Abc12345@
23,Geema,Male,18,116,4,"""4,73,277,302,318,391,450,852,871,922,1101,1127,1185,1241,1247,1329,1444,1514,1516,1518,1519,1603,1624,1714,1767,1827,1896,2138,2149,2154,2170,2424,2473,2480,2696,2741,2798,3018,3036,3105,3112,3246,3389,3417,3680,3799,3896,3985,4081,4187,4233,4316,4421,4487,4505,4542,4606,4780,4786,4908,4956,5155,5243,5268,5318,5324,5482,5556,5585,5783,5826,6146,6177,6215,6256,6286,6330,6334,6448,6450,6471,6522,6600,6708,6748,6759,6773,6782,6853,6998,7022,7153,7587,7629,7741,7753,7805,7823,7941,8140,8309,8335,8528,8618,8770,8784,8932,8947,8989,9403,9407,9409,9552,9587,9652,9832""","""725,733,1917,2508""",Abc12345@
24,Gay Gilmore,Male,35,41,25,"""21,216,372,626,782,1207,1278,1551,1876,2186,2579,2917,2967,3252,3268,3872,3920,3989,4026,4087,4112,4184,4472,4663,4762,5576,5628,6165,6254,6468,6643,7154,7545,7859,8184,8276,8408,8523,8891,8964,9645""","""261,422,436,446,593,661,961,1143,1270,2489,2509,2793,3212,4224,4575,4655,5083,5827,6047,6698,7991,7992,8271,8299,9222""",Abc12345@
25,William Hakala,Female,54,6,8,"""867,966,1214,1241,8107,9428""","""48,237,640,733,2060,2787,5630,7980""",Abc12345@
26,Wanda Fornal,Female,46,2,4,"""4267,8027""","""150,216,2169,3436""",Abc12345@
27,Donna M.,Female,20,1,37,"""67""","""215,237,318,346,446,547,857,889,1078,1241,1746,2104,2138,2230,2339,3492,3847,3984,4134,4540,5019,5280,5341,5435,5823,5958,5995,6413,6711,6727,6786,7198,7776,7837,7925,8062,9054""",Abc12345@
28,Gretchen Lauro,Male,41,2,5,"""3714,5003""","""216,234,820,1241,6449""",Abc12345@
29,luv2luvya1000,Male,35,3,5,"""1159,1695,5144""","""148,436,2272,3626,9678""",Abc12345@
30,SimplyME,Male,50,3,5,"""823,3391,8005""","""392,1917,4457,5743,8300""",Abc12345@
31,TishT,Male,36,214,87,"""45,128,147,322,325,352,470,525,615,643,681,686,700,724,784,790,853,905,1125,1135,1191,1202,1248,1310,1325,1328,1354,1375,1408,1416,1435,1489,1503,1544,1594,1608,1652,1661,1665,1677,1678,1728,1743,1767,1907,1946,1978,1987,1993,1996,2087,2099,2117,2198,2208,2268,2287,2299,2321,2372,2376,2416,2422,2443,2495,2553,2616,2620,2623,2685,2706,2824,2943,3002,3017,3091,3146,3241,3255,3267,3306,3341,3368,3379,3417,3442,3559,3560,3580,3682,3708,3735,3789,3791,3796,3799,3800,3823,3877,3891,3978,4050,4307,4335,4371,4416,4529,4558,4671,4696,4714,4719,4725,4743,4781,4788,4789,4877,5066,5079,5090,5127,5277,5283,5300,5461,5512,5557,5565,5665,5675,5740,5749,5755,5777,5787,5804,5941,6004,6040,6135,6141,6256,6293,6321,6363,6437,6459,6486,6573,6690,6846,6864,6907,6965,7005,7039,7095,7106,7149,7176,7198,7235,7304,7352,7466,7568,7626,7666,7673,7722,7799,7807,7849,7902,7956,8017,8022,8083,8111,8217,8294,8298,8426,8458,8473,8556,8565,8646,8654,8689,8740,8745,8774,8796,8862,8871,9039,9160,9197,9204,9266,9361,9395,9408,9428,9483,9544,9559,9580,9614,9699,9724,9801""","""18,83,172,214,264,416,434,693,731,835,970,1546,1637,1732,1815,1860,1878,2167,2219,2285,2290,2338,2473,2545,2716,2778,2955,3325,3576,3600,3677,3752,3826,3874,4163,4258,4340,4373,4545,4736,4866,4899,4942,5051,5217,5221,5306,5473,5480,5590,5835,5881,5913,6075,6182,6209,6385,6743,6747,6885,6904,6928,7354,7356,7392,7411,7469,7577,7608,7634,7805,7806,7861,7903,8124,8329,8557,8695,8706,8861,8907,9000,9193,9326,9428,9810,9846""",Abc12345@
32,KiminyMe,Male,25,8,7,"""320,441,625,1220,1241,2602,3401,4268""","""172,186,256,261,1057,4973,5228""",Abc12345@
33,SweetSueAl,Female,31,9,4,"""761,928,1997,2843,3070,4279,4976,7428,8699""","""1241,2544,2590,5317""",Abc12345@
34,Kristy -,Male,45,2,5,"""114,1006""","""36,486,681,1192,2834""",Abc12345@
35,mandabears,Female,32,27,32,"""234,326,414,441,483,521,675,1150,1376,1650,1847,2793,2836,3323,3434,4372,4428,5218,5380,5507,5592,6393,6482,8267,8678,8846,8908""","""102,177,186,226,772,1130,1146,1202,1376,1667,1895,2330,2834,3486,3535,4058,4061,5404,5596,6021,6201,6320,6424,6598,6642,7692,7746,9032,9235,9473,9728,9835""",Abc12345@
36,Bergy,Female,31,330,174,"""34,51,107,118,123,127,187,245,301,304,315,410,411,424,501,552,562,569,645,662,668,690,718,733,756,768,774,817,825,826,858,864,910,933,935,945,950,951,960,969,980,1003,1008,1021,1037,1051,1062,1128,1153,1180,1210,1250,1260,1268,1290,1363,1432,1460,1493,1494,1511,1583,1586,1595,1601,1609,1617,1643,1667,1693,1800,1806,1855,1865,1903,1930,1943,1984,2067,2158,2183,2195,2199,2231,2235,2275,2295,2301,2303,2333,2338,2410,2440,2487,2492,2526,2534,2576,2590,2599,2651,2703,2734,2774,2784,2806,2825,2828,2847,2880,2907,2911,2913,2985,3008,3018,3044,3056,3076,3085,3105,3111,3137,3152,3215,3228,3244,3253,3262,3263,3276,3313,3332,3339,3344,3380,3472,3503,3533,3602,3627,3660,3662,3694,3762,3776,3796,3839,3902,4020,4029,4069,4095,4112,4137,4171,4286,4328,4338,4354,4414,4449,4451,4472,4513,4555,4591,4597,4606,4630,4633,4640,4735,4737,4818,4836,4900,4913,4942,4965,5006,5012,5016,5041,5118,5124,5136,5200,5220,5228,5275,5279,5294,5296,5328,5338,5346,5430,5501,5520,5530,5624,5679,5705,5717,5731,5749,5810,5818,5840,5978,6009,6092,6136,6162,6232,6233,6278,6353,6476,6492,6516,6547,6566,6573,6626,6666,6668,6707,6708,6764,6787,6791,6879,6903,6914,6933,6961,7072,7100,7147,7158,7167,7182,7200,7201,7229,7238,7302,7316,7318,7365,7369,7389,7436,7500,7534,7640,7684,7698,7724,7836,7860,7926,7936,7946,7948,8003,8007,8044,8047,8086,8109,8131,8139,8169,8197,8200,8256,8268,8316,8328,8337,8390,8471,8534,8546,8575,8596,8618,8621,8641,8746,8813,8898,8915,8956,8965,8976,9037,9064,9074,9118,9124,9136,9157,9177,9210,9272,9277,9352,9356,9370,9457,9467,9472,9513,9554,9575,9588,9591,9609,9672,9694,9734,9750,9759,9767,9820,9822""","""4,38,49,100,123,130,214,376,395,400,424,466,533,538,597,722,794,839,1023,1046,1057,1093,1258,1292,1305,1356,1446,1502,1533,1581,1600,1639,1713,1816,1836,1917,1927,1978,2055,2120,2144,2149,2200,2266,2292,2310,2317,2338,2341,2352,2380,2392,2422,2442,2455,2504,2732,2771,2817,2823,2883,2902,2941,3105,3144,3168,3239,3322,3436,3513,3613,3675,3699,3809,3823,3962,4073,4175,4226,4248,4326,4444,4457,4493,4510,4560,4563,4718,4808,4829,4977,4989,5014,5040,5069,5078,5100,5112,5145,5228,5338,5377,5419,5482,5527,5666,5705,5788,5820,6087,6145,6157,6332,6385,6478,6485,6515,6603,6742,6885,6892,6917,6923,6962,6978,6995,7016,7045,7322,7343,7350,7450,7451,7490,7547,7631,7637,7769,7781,7868,7978,8012,8118,8369,8390,8406,8422,8480,8484,8519,8534,8535,8557,8709,8803,8828,8833,9032,9043,9074,9079,9086,9169,9243,9286,9318,9329,9415,9417,9470,9522,9524,9617,9719""",Abc12345@
37,carolinajewel,Female,58,3,5,"""1278,1417,5710""","""400,434,1754,2586,6659""",Abc12345@
38,Laura O.,Male,59,4,9,"""36,116,867,1661""","""1151,1639,2558,2732,5411,5845,7376,8093,8418""",Abc12345@
39,sharron cant,Female,18,5,1,"""108,2508,4136,4460,5117""","""436""",Abc12345@
40,Barbara Hiler,Female,44,2,2,"""403,904""","""1130,6240""",Abc12345@
41,Derf2440,Male,51,351,116,"""57,98,122,134,159,185,233,294,317,318,340,343,361,385,420,422,461,467,548,551,585,591,663,679,732,761,777,822,848,898,945,947,961,987,1003,1005,1014,1058,1082,1102,1165,1174,1200,1222,1236,1273,1278,1292,1376,1384,1385,1440,1448,1466,1534,1565,1567,1636,1643,1700,1705,1723,1724,1732,1738,1752,1760,1804,1822,1841,1921,1977,2054,2063,2074,2079,2084,2120,2134,2145,2183,2235,2301,2347,2360,2431,2465,2501,2546,2547,2554,2592,2608,2638,2658,2693,2708,2709,2758,2765,2773,2780,2783,2784,2789,2790,2834,2865,2881,2888,2899,2905,2917,2932,3028,3054,3070,3094,3178,3234,3235,3236,3239,3283,3287,3288,3294,3314,3354,3393,3412,3442,3451,3466,3470,3526,3629,3651,3681,3684,3685,3716,3740,3786,3803,3804,3819,3829,3858,3869,3874,3987,3991,4035,4077,4080,4144,4154,4188,4253,4268,4278,4292,4299,4309,4332,4423,4456,4486,4493,4520,4522,4540,4580,4616,4708,4746,4750,4793,4803,4806,4812,4820,4857,4863,4868,4903,4927,4954,4977,4978,5004,5048,5064,5110,5122,5129,5134,5187,5192,5211,5279,5361,5395,5439,5458,5462,5573,5577,5630,5639,5717,5730,5735,5743,5749,5752,5753,5769,5771,5773,5779,5802,5833,5836,5986,5995,5997,6001,6025,6026,6035,6097,6173,6211,6216,6229,6256,6257,6269,6274,6283,6296,6299,6387,6468,6539,6626,6657,6736,6751,6759,6793,6808,6825,6841,6862,6877,6910,6963,7040,7047,7059,7120,7138,7162,7163,7166,7178,7199,7207,7262,7290,7342,7400,7421,7425,7441,7485,7565,7570,7580,7597,7623,7669,7707,7802,7807,7847,7862,7910,7955,7983,7994,8057,8074,8083,8145,8146,8217,8291,8321,8394,8413,8498,8525,8597,8634,8646,8675,8686,8750,8765,8777,8811,8814,8823,8836,8845,8889,8921,8983,9001,9022,9061,9164,9170,9192,9207,9224,9228,9230,9257,9264,9293,9374,9405,9431,9433,9521,9556,9557,9561,9581,9589,9624,9632,9701,9705,9773,9844""","""17,137,458,484,568,630,695,723,1038,1042,1368,1510,1614,1691,1758,1831,2022,2054,2055,2068,2091,2122,2280,2353,2518,2598,2862,2923,2956,3040,3063,3197,3205,3334,3354,3472,3493,3749,3791,3792,4094,4123,4228,4312,4343,4380,4545,4661,4726,4805,4898,4965,5078,5168,5188,5245,5312,5398,5618,5655,5723,5737,5754,5779,5822,5907,6096,6118,6138,6160,6166,6184,6205,6252,6336,6437,6511,6622,6687,6931,7041,7111,7137,7169,7203,7221,7381,7468,7797,7829,7949,7961,8064,8104,8138,8155,8207,8277,8301,8317,8403,8563,8774,8784,8836,8870,8905,9064,9075,9163,9195,9330,9480,9515,9673,9800""",Abc12345@
42,Nutmeg74,Female,51,5,7,"""90,1802,3618,6167,6178""","""286,400,426,436,441,1241,2812""",Abc12345@
43,Becky,Male,37,1,3,"""4659""","""482,1241,2160""",Abc12345@
44,Ursie,Male,19,2,7,"""142,1241""","""172,271,436,441,572,701,725""",Abc12345@
45,Mariya Davis,Female,54,1,8,"""874""","""31,150,230,1862,2274,2579,3478,4223""",Abc12345@
46,Eva Mann,Male,53,0,5,,"""446,694,820,1862,1984""",Abc12345@
47,Mini Ravindran,Male,41,29,8,"""125,369,446,922,963,1259,1526,1807,1848,2667,2790,3395,3683,4265,4297,4863,4887,5354,5532,6274,6673,7110,7794,8034,9065,9111,9421,9713,9845""","""4,710,1016,1038,2141,4036,6224,7874""",Abc12345@
48,Miss Annie,Female,42,283,100,"""4,11,14,25,71,119,123,127,199,209,221,240,292,373,445,555,582,586,593,610,681,716,742,759,809,889,946,964,993,1053,1080,1093,1130,1178,1192,1196,1238,1307,1350,1438,1453,1454,1469,1525,1545,1564,1576,1599,1661,1712,1785,1797,1826,1856,1857,1939,1969,1981,1982,2047,2076,2085,2175,2186,2200,2201,2327,2351,2406,2407,2557,2569,2641,2651,2782,2786,2792,2915,2919,2928,2969,3041,3058,3071,3098,3110,3172,3206,3229,3300,3400,3409,3423,3459,3461,3483,3486,3495,3515,3523,3543,3576,3607,3677,3687,3714,3730,3767,3769,3800,3840,3856,3894,3907,4080,4142,4197,4234,4290,4409,4411,4420,4422,4437,4490,4491,4504,4512,4588,4606,4614,4623,4688,4775,4807,4812,4825,4849,4896,4903,4937,5024,5209,5233,5285,5290,5317,5328,5351,5356,5372,5403,5404,5406,5458,5474,5486,5498,5550,5578,5606,5632,5753,5798,5810,5854,5901,5918,5952,5964,6031,6076,6118,6179,6215,6218,6320,6327,6343,6379,6394,6458,6476,6505,6518,6543,6575,6611,6654,6674,6752,6758,6828,6837,6854,6871,6873,6895,6938,6940,6945,6998,7001,7006,7043,7091,7142,7213,7227,7297,7309,7316,7330,7354,7401,7402,7404,7459,7561,7567,7588,7635,7671,7703,7717,7790,7873,7895,7938,7960,7963,8038,8073,8132,8141,8228,8248,8252,8296,8413,8621,8630,8663,8669,8711,8748,8750,8779,8835,8850,8884,8908,8928,8966,8968,8974,8979,9134,9181,9210,9270,9298,9343,9345,9392,9405,9415,9416,9439,9453,9467,9471,9503,9541,9570,9630,9637,9659,9707,9717,9802,9813,9833""","""5,216,256,359,385,494,529,623,631,654,751,863,893,936,1134,1251,1486,1500,1777,1888,2133,2694,2783,2812,2900,3054,3196,3292,3387,3441,3448,3551,3668,4272,4435,4436,4509,4536,4649,4713,4715,4732,5136,5176,5345,5463,5468,5478,5490,5513,5562,5946,5972,6143,6192,6208,6410,6539,6592,6617,6639,6671,6685,6695,6771,6925,7082,7110,7114,7138,7229,7235,7729,7839,7894,7975,7988,8006,8026,8038,8160,8225,8333,8377,8436,8469,8704,8738,8757,8877,9057,9083,9089,9336,9410,9493,9528,9764,9776,9795""",Abc12345@
49,madpots,Male,41,2,3,"""36,436""","""4067,4245,6160""",Abc12345@
50,Charishma_Ramchanda,Male,33,70,48,"""207,269,286,956,1085,1266,1507,1769,2044,2111,2336,2834,2910,3287,3369,3383,3518,3683,3702,3729,3778,3874,3964,4134,4206,4267,4366,4557,4573,4878,5054,5871,5988,6020,6105,6356,6411,6574,6658,6777,6864,6884,6913,7053,7070,7081,7231,7274,7649,7748,7798,7903,7970,8143,8202,8222,8241,8292,8426,8486,8781,8864,9007,9022,9149,9197,9242,9372,9453,9651""","""148,253,397,451,614,918,925,1201,1381,1643,1750,1930,2119,2381,2738,3306,3343,3515,3763,3942,4760,4797,4847,4861,4919,4937,5582,5635,5782,5925,6029,6107,6634,6870,7335,7431,7438,7603,7715,7897,8082,8199,8413,8675,8798,9300,9714,9844""",Abc12345@
51,Virginia Chandler,Male,50,2,10,"""2856,6236""","""36,271,434,459,943,1754,1957,4785,5144,6836""",Abc12345@
52,Kathy,Female,50,35,13,"""150,512,568,1262,2040,2047,2404,2682,2865,2946,3480,4006,4648,4844,5154,5325,5483,5576,5673,5756,6293,6327,6907,6951,6968,7093,7752,8070,8107,8195,8560,8927,9180,9530,9771""","""251,441,820,1234,3534,5388,5457,5795,7055,7465,8326,8681,8920""",Abc12345@
53,carol webber,Male,23,1,3,"""3828""","""434,1004,2178""",Abc12345@
54,Mary Scheffert,Male,53,23,8,"""711,729,1770,2092,2246,2721,3399,4143,4453,4805,5367,5732,6373,6561,6652,6955,7010,7359,7702,7834,8070,8943,9759""","""67,814,3333,3721,4158,6939,7799,9062""",Abc12345@
55,roxanne,Female,18,2,3,"""1558,4457""","""67,189,1392""",Abc12345@
56,Lindas Kitchen,Female,41,6,7,"""294,2233,2990,2996,3577,9367""","""216,576,1014,1719,2028,2198,2421""",Abc12345@
57,TheDancingCook,Female,59,88,57,"""158,214,312,743,785,838,1030,1036,1097,1242,1487,1760,1764,1812,1918,2126,2649,2670,2683,2693,2840,2856,2962,2993,3027,3045,3084,3169,3206,3261,3278,3329,3540,3667,3703,3749,3826,3869,4038,4134,4322,4350,4376,4541,4599,4670,4785,4812,4818,5006,5174,5245,5276,5391,5462,5799,6158,6186,6207,6258,6261,6429,6442,6446,7044,7052,7157,7288,7486,7543,7590,7832,7839,8195,8323,8380,8383,8485,8876,8929,9108,9152,9358,9368,9392,9403,9600,9839""","""41,93,114,242,256,371,481,584,703,917,976,1003,1261,1288,1388,1433,1510,1850,1978,1981,2761,3036,3151,3408,3625,3630,3637,3769,3987,3988,4404,4621,4706,4920,4977,5222,5249,5376,5904,6104,6240,6257,6265,6671,6743,7238,7251,7564,8060,8618,9116,9177,9213,9422,9674,9710,9830""",Abc12345@
58,Nancy Sneed,Female,44,13,9,"""67,327,689,901,1330,3284,4027,4664,6896,8386,8721,8846,9198""","""59,416,434,776,931,943,1004,1130,5630""",Abc12345@
59,Shaun McGee,Female,21,4,3,"""58,186,613,2028""","""1130,1220,2225""",Abc12345@
60,Mark H.,Female,18,80,58,"""4,66,299,320,408,426,446,560,653,720,891,935,936,1130,1177,1268,1368,1474,1865,2248,2442,2480,2555,2624,2628,2654,2657,2959,2991,3094,3166,3324,3599,3648,3664,3753,3888,4067,4609,5105,5275,5281,5507,5514,5564,5585,5713,5933,5984,6018,6021,6114,6168,6188,6275,6306,6428,6433,6807,6867,6870,7001,7026,7091,7152,7183,7393,7438,7664,7860,8234,8332,8336,8541,8743,9205,9219,9309,9321,9397""","""10,12,215,245,257,273,363,413,447,559,747,857,907,912,995,1275,1422,1743,1882,2169,2651,2681,2784,2963,3080,3350,3948,4189,4557,4938,5008,5115,5177,5207,5505,5818,5848,5936,6391,6748,6749,6798,6926,7016,7343,7464,7549,7841,8229,8244,8273,8777,8927,9022,9275,9323,9331,9441""",Abc12345@
61,Anne G.,Female,47,7,5,"""1139,2023,3184,3917,4154,4883,8733""","""380,1319,4599,7683,9308""",Abc12345@
62,Kathy228,Female,20,23,9,"""475,863,875,1349,2496,2545,3171,3914,3930,4136,4459,5041,5176,5216,5468,5758,6255,6766,7211,7603,8198,8292,9692""","""256,681,761,3746,4229,6390,6862,7548,9736""",Abc12345@
63,Robs415,Male,53,4,2,"""441,675,1220,3229""","""76,1903""",Abc12345@
64,Pearlgirl,Female,18,0,2,,"""482,1754""",Abc12345@
65,Susan Lee,Female,40,1,3,"""2060""","""1424,4014,7697""",Abc12345@
66,Marie Nixon,Female,55,0,3,,"""4,60,820""",Abc12345@
